StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2023-12-09T00:00:00Z,APXMIDP,2023-12-09,1,51.81,1761.500
2023-12-09T00:00:00Z,N2EXMIDP,2023-12-09,1,0.00,0.000
2023-12-08T23:30:00Z,APXMIDP,2023-12-08,48,50.92,1612.350
2023-12-08T23:30:00Z,N2EXMIDP,2023-12-08,48,0.00,0.000
2023-12-08T23:00:00Z,APXMIDP,2023-12-08,47,61.44,1702.100
2023-12-08T23:00:00Z,N2EXMIDP,2023-12-08,47,0.00,0.000
2023-12-08T22:30:00Z,APXMIDP,2023-12-08,46,74.68,2887.050
2023-12-08T22:30:00Z,N2EXMIDP,2023-12-08,46,0.00,0.000
2023-12-08T22:00:00Z,APXMIDP,2023-12-08,45,78.07,2818.550
2023-12-08T22:00:00Z,N2EXMIDP,2023-12-08,45,0.00,0.000
2023-12-08T21:30:00Z,APXMIDP,2023-12-08,44,79.29,2956.150
2023-12-08T21:30:00Z,N2EXMIDP,2023-12-08,44,0.00,0.000
2023-12-08T21:00:00Z,APXMIDP,2023-12-08,43,79.08,3018.700
2023-12-08T21:00:00Z,N2EXMIDP,2023-12-08,43,0.00,0.000
2023-12-08T20:30:00Z,APXMIDP,2023-12-08,42,83.44,2897.300
2023-12-08T20:30:00Z,N2EXMIDP,2023-12-08,42,0.00,0.000
2023-12-08T20:00:00Z,APXMIDP,2023-12-08,41,82.85,2622.600
2023-12-08T20:00:00Z,N2EXMIDP,2023-12-08,41,0.00,0.000
2023-12-08T19:30:00Z,APXMIDP,2023-12-08,40,78.82,2607.300
2023-12-08T19:30:00Z,N2EXMIDP,2023-12-08,40,0.00,0.000
2023-12-08T19:00:00Z,APXMIDP,2023-12-08,39,76.19,2337.950
2023-12-08T19:00:00Z,N2EXMIDP,2023-12-08,39,0.00,0.000
2023-12-08T18:30:00Z,APXMIDP,2023-12-08,38,74.53,2741.450
2023-12-08T18:30:00Z,N2EXMIDP,2023-12-08,38,0.00,0.000
2023-12-08T18:00:00Z,APXMIDP,2023-12-08,37,76.81,2836.100
2023-12-08T18:00:00Z,N2EXMIDP,2023-12-08,37,0.00,0.000
2023-12-08T17:30:00Z,APXMIDP,2023-12-08,36,78.41,2931.150
2023-12-08T17:30:00Z,N2EXMIDP,2023-12-08,36,0.00,0.000
2023-12-08T17:00:00Z,APXMIDP,2023-12-08,35,76.30,2789.400
2023-12-08T17:00:00Z,N2EXMIDP,2023-12-08,35,0.00,0.000
2023-12-08T16:30:00Z,APXMIDP,2023-12-08,34,77.09,2330.550
2023-12-08T16:30:00Z,N2EXMIDP,2023-12-08,34,0.00,0.000
2023-12-08T16:00:00Z,APXMIDP,2023-12-08,33,75.15,2245.550
2023-12-08T16:00:00Z,N2EXMIDP,2023-12-08,33,0.00,0.000
2023-12-08T15:30:00Z,APXMIDP,2023-12-08,32,78.07,2380.800
2023-12-08T15:30:00Z,N2EXMIDP,2023-12-08,32,0.00,0.000
2023-12-08T15:00:00Z,APXMIDP,2023-12-08,31,71.49,2004.750
2023-12-08T15:00:00Z,N2EXMIDP,2023-12-08,31,0.00,0.000
2023-12-08T14:30:00Z,APXMIDP,2023-12-08,30,69.49,1971.250
2023-12-08T14:30:00Z,N2EXMIDP,2023-12-08,30,0.00,0.000
2023-12-08T14:00:00Z,APXMIDP,2023-12-08,29,72.79,2027.750
2023-12-08T14:00:00Z,N2EXMIDP,2023-12-08,29,0.00,0.000
2023-12-08T13:30:00Z,APXMIDP,2023-12-08,28,73.91,1732.800
2023-12-08T13:30:00Z,N2EXMIDP,2023-12-08,28,0.00,0.000
2023-12-08T13:00:00Z,APXMIDP,2023-12-08,27,78.09,1664.600
2023-12-08T13:00:00Z,N2EXMIDP,2023-12-08,27,0.00,0.000
2023-12-08T12:30:00Z,APXMIDP,2023-12-08,26,82.32,1733.600
2023-12-08T12:30:00Z,N2EXMIDP,2023-12-08,26,0.00,0.000
2023-12-08T12:00:00Z,APXMIDP,2023-12-08,25,88.07,1474.100
2023-12-08T12:00:00Z,N2EXMIDP,2023-12-08,25,0.00,0.000
2023-12-08T11:30:00Z,APXMIDP,2023-12-08,24,93.59,1631.100
2023-12-08T11:30:00Z,N2EXMIDP,2023-12-08,24,0.00,0.000
2023-12-08T11:00:00Z,APXMIDP,2023-12-08,23,105.12,1735.050
2023-12-08T11:00:00Z,N2EXMIDP,2023-12-08,23,0.00,0.000
2023-12-08T10:30:00Z,APXMIDP,2023-12-08,22,98.27,1865.350
2023-12-08T10:30:00Z,N2EXMIDP,2023-12-08,22,0.00,0.000
2023-12-08T10:00:00Z,APXMIDP,2023-12-08,21,105.89,2128.200
2023-12-08T10:00:00Z,N2EXMIDP,2023-12-08,21,0.00,0.000
2023-12-08T09:30:00Z,APXMIDP,2023-12-08,20,107.62,1895.900
2023-12-08T09:30:00Z,N2EXMIDP,2023-12-08,20,0.00,0.000
